"team","sentiment","time"
"Packers",0.3626,"30"
"Texans",0,"30"
"Colts",0,"30"
"Jaguars",0,"30"
"Chiefs",0,"30"
"Chargers",-0.5664,"30"
"Rams",0,"30"
"Dolphins",0.159533333333333,"30"
"Vikings",0.6059,"30"
"Patriots",0,"30"
"Saints",0,"30"
"Giants",0,"30"
"Jets",0,"30"
"Raiders",0.6696,"30"
"Eagles",0.4077,"30"
"Steelers",0.28536,"30"
"49ers",0.471716666666667,"30"
"Seahawks",0.8868,"30"
"Buccaneers",0.0614,"30"
"Titans",0,"30"
"Football Team",0,"30"
"Cardinals",0.4201,"35"
"Falcons",-0.11315,"35"
"Ravens",0.4215,"35"
"Bills",0.9152,"35"
"Panthers",-0.30755,"35"
"Bears",0.0772,"35"
"Bengals",0,"35"
"Browns",0.4215,"35"
"Cowboys",0.7293,"35"
"Broncos",0.1465,"35"
"Lions",-0.1503,"35"
"Packers",0.3626,"35"
"Texans",0,"35"
"Colts",0,"35"
"Jaguars",0.31185,"35"
"Chiefs",0,"35"
"Chargers",-0.5664,"35"
"Rams",0,"35"
"Dolphins",0.159533333333333,"35"
"Vikings",0.6059,"35"
"Patriots",0,"35"
"Saints",0,"35"
"Giants",0,"35"
"Jets",0,"35"
"Raiders",0.6696,"35"
"Eagles",0.4077,"35"
"Steelers",0.174975,"35"
"49ers",0.471716666666667,"35"
"Seahawks",0.8868,"35"
"Buccaneers",0.0614,"35"
"Titans",0,"35"
"Football Team",0,"35"
"Cardinals",0.4201,"40"
"Falcons",-0.11315,"40"
"Ravens",0.4215,"40"
"Bills",0.9152,"40"
"Panthers",-0.30755,"40"
"Bears",0.0772,"40"
"Bengals",0,"40"
"Browns",0.4215,"40"
"Cowboys",0.7293,"40"
"Broncos",0.1465,"40"
"Lions",-0.1503,"40"
"Packers",0.3626,"40"
"Texans",0,"40"
"Colts",0,"40"
"Jaguars",0.31185,"40"
"Chiefs",0,"40"
"Chargers",-0.5664,"40"
"Rams",0,"40"
"Dolphins",0.16275,"40"
"Vikings",0.6059,"40"
"Patriots",0,"40"
"Saints",0,"40"
"Giants",0,"40"
"Jets",0,"40"
"Raiders",0.6696,"40"
"Eagles",0.4077,"40"
"Steelers",0.174975,"40"
"49ers",0.471716666666667,"40"
"Seahawks",0.8868,"40"
"Buccaneers",0.0614,"40"
"Titans",0,"40"
"Football Team",0,"40"
"Cardinals",0.4201,"45"
"Falcons",0.0713666666666667,"45"
"Ravens",0.4215,"45"
"Bills",0.9152,"45"
"Panthers",-0.30755,"45"
"Bears",0.0772,"45"
"Bengals",0,"45"
"Browns",0.2873,"45"
"Cowboys",0.7293,"45"
"Broncos",0.1465,"45"
"Lions",-0.1002,"45"
"Packers",0.3626,"45"
"Texans",0,"45"
"Colts",0,"45"
"Jaguars",0.31185,"45"
"Chiefs",0,"45"
"Chargers",-0.5664,"45"
"Rams",0,"45"
"Dolphins",0.16275,"45"
"Vikings",0.6059,"45"
"Patriots",0,"45"
"Saints",0.6312,"45"
"Giants",0,"45"
"Jets",0,"45"
"Raiders",0.6696,"45"
"Eagles",0.4077,"45"
"Steelers",0.000139999999999985,"45"
"49ers",0.41746,"45"
"Seahawks",0.8868,"45"
"Buccaneers",-0.7088,"45"
"Titans",0,"45"
"Football Team",0,"45"
"Cardinals",0.4201,"50"
"Falcons",0.0713666666666667,"50"
"Ravens",0.4215,"50"
"Bills",0.9152,"50"
"Panthers",-0.556866666666667,"50"
"Bears",0.0772,"50"
"Bengals",0,"50"
"Browns",0.2873,"50"
"Cowboys",0.7293,"50"
"Broncos",0.3754,"50"
"Lions",-0.4186,"50"
"Packers",0,"50"
"Texans",0,"50"
"Colts",0,"50"
"Jaguars",0.31185,"50"
"Chiefs",0,"50"
"Chargers",-0.5664,"50"
"Rams",0,"50"
"Dolphins",0.16275,"50"
"Vikings",0.6059,"50"
"Patriots",0,"50"
"Saints",0.6312,"50"
"Giants",0,"50"
"Jets",0,"50"
"Raiders",0.6696,"50"
"Eagles",0.4077,"50"
"Steelers",-0.1463,"50"
"49ers",0.41746,"50"
"Seahawks",0.8868,"50"
"Buccaneers",-0.7088,"50"
"Titans",0,"50"
"Football Team",0,"50"
"Cardinals",0.4201,"55"
"Falcons",0.0713666666666667,"55"
"Ravens",0,"55"
"Bills",0.9152,"55"
"Panthers",-0.556866666666667,"55"
"Bears",0.0772,"55"
"Bengals",0,"55"
"Browns",0.2873,"55"
"Cowboys",0.7293,"55"
"Broncos",0.3754,"55"
"Lions",-0.123133333333333,"55"
"Packers",0,"55"
"Texans",0,"55"
"Colts",0.1817,"55"
"Jaguars",0.31185,"55"
"Chiefs",0,"55"
"Chargers",0.0386,"55"
"Rams",0,"55"
"Dolphins",0.16275,"55"
"Vikings",0.6059,"55"
"Patriots",0,"55"
"Saints",0.6312,"55"
"Giants",0,"55"
"Jets",0,"55"
"Raiders",0.6696,"55"
"Eagles",0.4077,"55"
