round,pick,draft_franchise_id,abbrv,team,player_id,player
4,121,26,LA,Rams,NA,NA
4,122,19,NE,Patriots,NA,NA
4,123,24,PHI,Eagles,NA,NA
4,124,32,WAS,Football Team,NA,NA
4,125,18,MIN,Vikings,NA,NA
4,126,31,TEN,Titans,NA,NA
4,127,14,IND,Colts,NA,NA
4,128,25,PIT,Steelers,NA,NA
4,129,29,SEA,Seahawks,NA,NA
4,130,15,JAX,Jaguars,NA,NA
4,131,3,BAL,Ravens,NA,NA
4,132,8,CLE,Browns,NA,NA
4,133,20,NO,Saints,NA,NA
4,134,18,MIN,Vikings,NA,NA
4,135,31,TEN,Titans,NA,NA
4,136,3,BAL,Ravens,NA,NA
4,137,30,TB,Buccaneers,NA,NA
4,138,7,CIN,Bengals,NA,NA
4,139,19,NE,Patriots,NA,NA
4,140,25,PIT,Steelers,NA,NA
4,141,26,LA,Rams,NA,NA
4,142,12,GB,Packers,NA,NA
4,143,22,NYJ,Jets,NA,NA
4,144,16,KC,Chiefs,NA,NA
5,145,15,JAX,Jaguars,NA,NA
5,146,22,NYJ,Jets,NA,NA
5,147,13,HOU,Texans,NA,NA
5,148,2,ATL,Falcons,NA,NA
5,149,7,CIN,Bengals,NA,NA
5,150,24,PHI,Eagles,NA,NA
5,151,6,CHI,Bears,NA,NA
5,152,10,DEN,Broncos,NA,NA
5,153,11,DET,Lions,NA,NA
5,154,22,NYJ,Jets,NA,NA
5,155,28,SF,49ers,NA,NA
5,156,17,MIA,Dolphins,NA,NA
5,157,18,MIN,Vikings,NA,NA
5,158,5,CAR,Panthers,NA,NA
5,159,27,LAC,Chargers,NA,NA
5,160,1,ARI,Cardinals,NA,NA
5,161,4,BUF,Bills,NA,NA
5,162,23,LV,Raiders,NA,NA
5,163,32,WAS,Football Team,NA,NA
5,164,10,DEN,Broncos,NA,NA
5,165,14,IND,Colts,NA,NA
5,166,31,TEN,Titans,NA,NA
5,167,23,LV,Raiders,NA,NA
5,168,18,MIN,Vikings,NA,NA
5,169,8,CLE,Browns,NA,NA
5,170,15,JAX,Jaguars,NA,NA
5,171,3,BAL,Ravens,NA,NA
5,172,28,SF,49ers,NA,NA
5,173,12,GB,Packers,NA,NA
5,174,4,BUF,Bills,NA,NA
5,175,16,KC,Chiefs,NA,NA
5,176,30,TB,Buccaneers,NA,NA
5,177,19,NE,Patriots,NA,NA
5,178,12,GB,Packers,NA,NA
5,179,9,DAL,Cowboys,NA,NA
5,180,28,SF,49ers,NA,NA
5,181,16,KC,Chiefs,NA,NA
5,182,2,ATL,Falcons,NA,NA
5,183,2,ATL,Falcons,NA,NA
5,184,3,BAL,Ravens,NA,NA
6,185,27,LAC,Chargers,NA,NA
6,186,22,NYJ,Jets,NA,NA
6,187,2,ATL,Falcons,NA,NA
6,188,19,NE,Patriots,NA,NA
6,189,24,PHI,Eagles,NA,NA
6,190,7,CIN,Bengals,NA,NA
6,191,24,PHI,Eagles,NA,NA
6,192,9,DAL,Cowboys,NA,NA
6,193,5,CAR,Panthers,NA,NA
6,194,28,SF,49ers,NA,NA
6,195,13,HOU,Texans,NA,NA
6,196,21,NYG,Giants,NA,NA
6,197,19,NE,Patriots,NA,NA
6,198,27,LAC,Chargers,NA,NA
6,199,18,MIN,Vikings,NA,NA
6,200,23,LV,Raiders,NA,NA
6,201,21,NYG,Giants,NA,NA
6,202,7,CIN,Bengals,NA,NA
6,203,13,HOU,Texans,NA,NA
6,204,5,CAR,Panthers,NA,NA
6,205,31,TEN,Titans,NA,NA
6,206,14,IND,Colts,NA,NA
6,207,16,KC,Chiefs,NA,NA
6,208,6,CHI,Bears,NA,NA
6,209,26,LA,Rams,NA,NA
6,210,3,BAL,Ravens,NA,NA
6,211,8,CLE,Browns,NA,NA
6,212,13,HOU,Texans,NA,NA
6,213,4,BUF,Bills,NA,NA
6,214,12,GB,Packers,NA,NA
6,215,31,TEN,Titans,NA,NA
6,216,25,PIT,Steelers,NA,NA
6,217,30,TB,Buccaneers,NA,NA
6,218,20,NO,Saints,NA,NA
6,219,10,DEN,Broncos,NA,NA
6,220,12,GB,Packers,NA,NA
6,221,6,CHI,Bears,NA,NA
6,222,5,CAR,Panthers,NA,NA
6,223,1,ARI,Cardinals,NA,NA
6,224,24,PHI,Eagles,NA,NA
6,225,24,PHI,Eagles,NA,NA
6,226,22,NYJ,Jets,NA,NA
6,227,9,DAL,Cowboys,NA,NA
6,228,6,CHI,Bears,NA,NA
7,229,20,NO,Saints,NA,NA
7,230,23,LV,Raiders,NA,NA
7,231,17,MIA,Dolphins,NA,NA
7,232,31,TEN,Titans,NA,NA
7,233,13,HOU,Texans,NA,NA
7,234,24,PHI,Eagles,NA,NA
7,235,7,CIN,Bengals,NA,NA
7,236,4,BUF,Bills,NA,NA
7,237,10,DEN,Broncos,NA,NA
7,238,9,DAL,Cowboys,NA,NA
7,239,10,DEN,Broncos,NA,NA
7,240,24,PHI,Eagles,NA,NA
7,241,27,LAC,Chargers,NA,NA
7,NA,18,MIN,Vikings,NA,NA
7,242,19,NE,Patriots,NA,NA
7,243,1,ARI,Cardinals,NA,NA
7,244,17,MIA,Dolphins,NA,NA
7,245,25,PIT,Steelers,NA,NA
7,246,32,WAS,Football Team,NA,NA
7,247,1,ARI,Cardinals,NA,NA
7,248,14,IND,Colts,NA,NA
7,249,15,JAX,Jaguars,NA,NA
7,250,29,SEA,Seahawks,NA,NA
7,251,30,TB,Buccaneers,NA,NA
7,252,26,LA,Rams,NA,NA
7,253,10,DEN,Broncos,NA,NA
7,254,25,PIT,Steelers,NA,NA
7,255,20,NO,Saints,NA,NA
7,256,12,GB,Packers,NA,NA
7,257,8,CLE,Browns,NA,NA
7,258,32,WAS,Football Team,NA,NA
7,259,30,TB,Buccaneers,NA,NA
